author,date,review,score
tomt,2024년 4월 16일,리뷰 보고 시작한  년차  날이 갈수록 현질유도가 심해져서 접은 게임이 한두개가 아닌데 명일방주는 그런거 없음  올 콜렉터 강박만 없다면 먼슬리 결제로도  성 캐 획득하는데 충분하다고 생각함  장비강화 이딴 거 없고 장비가 없으니 레전더리  유니크 등급 따위도 없어서 캐릭터랑 캐릭터 키울 재화만 모으면 됨  심지어  성 오퍼 없어도     성으로 돌려막아 깰 수는 있음  다만 스테이지 난이도가 높아서 머리를 꽤 굴려야 하는데 바쁘면 공략을 보는 선택지도 있음  그리고 체력 시스템이 있어서 그거 떨어지면 할 거 없긴한데 육성이 어느정도 된 상태면 체력 소모 없는 로그라이크 컨텐츠를 즐기는 방법도 있음  마지막으로 굳이 단점을 꼽자면 중국산 게임인 게 나한텐 흠이었지만 다른 걸 봐도 중궈 아닌게 없고 솔직히 잘 만들어서 그냥 함 ,5
이용문,2024년 4월 29일,어느새  년을 넘어  년차가 되어가는 유일한 게임입니다  수많은 게임을 하며 게임스타일에 질리거나  경쟁에 지치거나 등등의 이유로 지운게 많지만  이 게임은 여전히 남아있을 만큼 재밌습니다  비록 모든 맵을 다 클리어 했지만  하고싶으면 얼마든지 할게 많습니다 로그라이크  섬멸전  등등   또한 업무나 가정사 등등으로 바쁠땐 굳이 게임을 하지않아도 경쟁에 밀린다거나 하는 스트레스도 없고  일일미션도   분 내외로 쾌적하게 클리어 가능한 것도 장점입니다 ,5
초력(Choryeok),2024년 2월 27일,인생작 오픈때부터 즐겨 온 사람으로써 명방의 대체제 게임을 찾지를 못하겠다 라고 느낄 정도로 엄청난 게임성과 구시대적인 자동화 전투 또한 스킵권으로  분안에 끝내는 타게임들과 다른 매력이 있으며 캐릭터의 다양성과 타워디펜스 중에는 유동적인 캐릭 배치 등 다양한 점이 너무 끌렸고 가끔 접기는 했지만 다시 생각이 나서 깔고나서 거의 뽕을 뽑을 만큼 즐기는 게임은 이게 처음이자 마지막일 것 같다  불편한 점도 심각한 점이얐던 섬멸전의 오토 또한 해소시켜줬고 몇몇 구시대적 시스템은 오히려 이 게임의 특징을 이끌고 나가는 것 같아서 진정한 게임성을 지닌 게임인 것 같다  또한 플레이어가 초심을 찾기 좋은 게임이기도 한 것이  성 캐릭 없이도 깰 수 있는 스테이지들이 다수 있기 때문에 내가 뉴비때 시절을 느끼고 싶을때도 재미있게 할 수 있는 게임이라 단언한다    대체제가 거의 없다   특징이 뚜렷한 게임이다   한계치를 넘어야 깰 수 있는 것이 아닌 한계치를 넘어 더 편하게 깨는 구조다,5
조완희,2024년 5월 2일,분쟁연의 그리고 픽뚫 미즈키 장난하나 진짜 오래된 오퍼면 빨리 파란티켓으로 보내버리던가 하지 호감도 안가고 성능도 구린 오퍼를 그렇게 안 기어나오는  성풀에 집어넣어가지고 기분 더럽게 하네,1
Rechosha,2024년 5월 2일,와  이제 파밍할 때 매 판마다 봐줄 필요가 없어요 ,5
Aaryl,2024년 5월 2일,현재 대체 불가능한 타워디펜스 캐릭터 수집형 게임  신규 컨텐츠가 나올 때마다 새로운 기믹을 파훼해볼   단순히 적의 스탯으로 몰아붙이는게 아닌  스토리와 언제나 좋은 노래를 즐길 기대가 되는 게임 ,5
이현웅,2024년 5월 2일,스토리 좋고 혜자겜,5
이상,2024년 5월 1일,다 좋습니다    제가 훈련소가기전에는    훈련소때 핸드폰을 못했는데 그때 트위터 계정 연동종료를해서 복귀를 못하고있는중입니다      가능하시면 계정복구 부탁드립니다   ,5
Sixilegal,2024년 4월 30일,로도스의 박사로 입사한지  주년을  일 앞두고 있는 유저입니다  작년  월초 온갖 양산형 게임의 비슷한 진행방식  내용에 환멸을 느끼다 우연히 명일방주를 발견하게 되었습니다  타워디펜스 장르는 이미 접해본 적이 있기도 하고  소개글에서 보이는 캐릭터들의 일러스트가 전반적으로 만족스러워 망설이지 않고 바로 게임을 시작했습니다  처음에는 열심히 가이드를 외부 커뮤니티에서 찾아다니며 체르노보그 섬멸작전  이벤트 노말맵 올 클리어에만 열중했는데 어느새 대부분 이벤트의 훈장은 맘먹으면 언제든 딸 수 있는  한섭의 두 로그라이크의 훈장을 모두 획득한 명청년으로 성장하게 되었네요  이 게임의 입문에 대해서 고민하고 계신 분이 있다면  제 경우에는 서브컬쳐 게임의 제대로 된 첫 입문이 명일방주였는데 소위  오타쿠적인  요소가 타 게임과 비교했을때 과하지 않고  오히려 게임 자체가 가지고 있는 재미에 몰입되어 이렇게 오랫동안 게임을 즐기고 있습니다  감히 인생게임이라 자랑스럽게 말해고 싶어요  ,5
우시현,2024년 4월 30일,접어도다시돌아오게됨         명방같은게임은명방바껭없음         ,5
