author,date,review,score
Daniel Kim,2021년 11월 29일,일단 과금은 필수로 시작하는 게임  확률조작도 있음    뽑 하려면   달러 정도 질러야하는데   뽑한다고 해서 좋은거 나올거란 보장도 없음  마일리지 시스템도 없고  과금하고 좋은거 안나오면 그냥 무과금으로 시작한다고 보면됨  그냥 흔한 돈슨 게임  심지어 싸울때   도 멍청함  단점이 어느정도 많은 게임  관리만 잘하면 미래는 있음,3
우타게,2024년 3월 21일,블루아카이브를 시작한지  년정도 되어가고 있네요    정말 재미있게 하며 애정을 가지게 된 게임이 되었습니다    그간 게임을 하면서 느껴본 것을 끄적써봅니다  일단 장점으로는 캐릭터 하나하나가 매력이 넘칩니다  캐릭터의 개성이 다양하며 서로가 다른 서사를 가지고 이렇게 표현할 수 있다는 것이 대단하다고 느낍니다  또한 스토리가 정말   와   맛도리입니다  스토리 빌드 및 전개가 불편함이 없고  캐릭터 각각의 가지는 감정선이나 관계를 잘 표현해냈다고 생각합니다  이렇게 집중적으로 스토리 하나하나 본 게임은 오랜만인 것 같습니다  단점으로는 재화의 수급과 가챠가 살짝 맵다는 점입니다  사실 어느 게임이나 재화수급은 어렵다고 생각합니다  그런데 타게임에 비해 블루아카가 유독 힘들다고 생각되는게 가챠는 보통 선택과 집중으로 선택해야하는데 이렇게 캐릭터를 잘 만들어서 내놓으면 재화가 안모여    그래도 이러한 점들이 제작자가 얼마나 게임에 진심인지를 엿볼 수 있다고 생각합니다 ,5
간조롱,2024년 5월 1일,메인 컨텐츠인 총력전과대결전은 크리 와 안정치 리트 때문에 피로도가 심하고 전술대회는 전술이라는 표현이 무색할 정도로 버그와 랜덤 요소가 가득한 코딩 뭉치이다 일섭과의 업데이트 차이가  개월이나 차이가 나서 글로벌서버만 하는 유저는 스포일러에 취약하고 이때문에  차창작물이나 커뮤니티 등을 이용하기가 불편하다 최근 공식생방송에서는 스포경고도 없이 신규이벤트 몬스터를 스포해서 글섭을 한다는 이유만으로 게임외적으로 가질수 있는 재미가 반감 된다  주년이 다되어 가는 게임이지만 대결전이라는 악수로 플레이 피로도만 올리고 업데이트 주기는 좁힐 생각도 없어 게임으로서 평가한다면 별점 한개도 아깝다고 생각한다  스토리랑 캐릭터 때문에 별 개 ,2
갤럭시게임즈w,2024년 5월 4일,노잼 이거할바에 다른거 함,1
정승민,2024년 5월 2일,굿겜,5
su Lin,2024년 5월 1일,콜라보 미추었냐고 진짜 최곱니다  어릴적에 재밌게 봤던 작품을 지금 좋아하는게임에서 콜라보라니,5
ori Kurodate,2024년 5월 1일,내가 해본 겜중 제일 청춘이다,5
Dekyu,2024년 5월 1일,   연차  성 개는 개선넘지,1
짬뽕국물,2024년 5월 1일,업데이트 속도가 느리네요 그것 빼고는 갓겜,3
우금휘,2024년 5월 1일,분명  만원을 충전하고 왔는데 블아에서는  원이라고 뜨네요     다른 앱에는 문제 없던데 왜 여기만 이러죠  ,1
최주원,2024년 5월 1일,다운 받지말고 다른 비슷 한겜 하세요 최악의 뽑기시스템 광고보고 재미있게시작하는데 최악의 뽑기 퍼주는척하면서 고객 호구로 아는 블루아카이브 최악중 최악임 다운안받는게추천합니다,1
밥씌,2024년 5월 1일, 몰 루 나도 비틱좀 하게해줭 몰 루 ,5
간조롱,2024년 5월 1일,메인 컨텐츠인 총력전과대결전은 크리 와 안정치 리트 때문에 피로도가 심하고 전술대회는 전술이라는 표현이 무색할 정도로 버그와 랜덤 요소가 가득한 코딩 뭉치이다 일섭과의 업데이트 차이가  개월이나 차이가 나서 글로벌서버만 하는 유저는 스포일러에 취약하고 이때문에  차창작물이나 커뮤니티 등을 이용하기가 불편하다 최근 공식생방송에서는 스포경고도 없이 신규이벤트 몬스터를 스포해서 글섭을 한다는 이유만으로 게임외적으로 가질수 있는 재미가 반감 된다  주년이 다되어 가는 게임이지만 대결전이라는 악수로 플레이 피로도만 올리고 업데이트 주기는 좁힐 생각도 없어 게임으로서 평가한다면 별점 한개도 아깝다고 생각한다  스토리랑 캐릭터 때문에 별 개 ,2
이웃집올빼미,2024년 5월 1일,이게 할만큼 한듯 연속으로 캐릭터 안나오니 할맛도 안남,1
무궁화호,2024년 5월 1일,크윽 질량이,5
idiaseeu,2024년 5월 1일,그냥 공지대로 정시 오픈하지 패치도 제대로 못하고 버그도 여전한데 뭐한다고 자꾸 조기오픈 하는거죠 괜히 정시오픈 기다려 들어갔다가 긴급점검해서 늦게 본 유저들만 바보만들고 뭐하는 겁니까 아예 하루 종일 점검해서 모두 다 못한거면 몰라도 계속   분 이내로 조금씩 열어서 누구는 하고 누구는 못 해서 형평성 문제생겼는데 그저 개인의 선택으로 넘어가실 건가요,1
pinitura,2024년 5월 1일,블루 아카이브 정말 발 고 건 전한 게임인데  ,5
