author,date,review,score
우정,2022년 11월 18일,그오 퍼블리싱 최고입니다  방송도 하고  공지사항도 댓글창이 열려서 의견을 개진할 수 있습니다  소통하려는 것도 보이고 개인적으로는 그 이후로 나아졌다고 느낍니다  페그오 자체의 문제는 한 두 개가 아니지만      과금패스 없고  레벨업 패키지 없고  성정석 원툴 노가다 게임인거 나름 나쁘지 않다고 생각합니다  과금유도 자체는 많이 없어요  다만 애정캐를 뽑으려고 가챠를 돌리면 놀랍게도 천장이 없다는게 문제지만요  스토리 나름 이정도로 신경써주고 진심  부  장   장이 좀 폭탄이지만  캐릭터 매력을 서사로 신경써줘서 나쁘진 않아요  물론 그걸 뛰어넘는 저열한 게임성과 편의성 등등등등  단점은 많습니다 ,5
Sone GG,2023년 12월 19일,   다른 계정으로 로그인할때마다 설정값  게임속도  아이콘 크기  보구연출 속도 설정 등 이 초기화되어 불편합니다  설정값을 기기에 저장하거나 계정에 연동시켜주셨으면 합니다    공지 팝업 외의 화면에 블루투스 마우스의 입력 인식이 되지 않아      삼성 덱스  모드에서 게임 플레이가 불가능한 수준입니다  마우스 입력 인식 가능하게 해주셨으면 합니다,4
알아서뭐하려구 (본계),2023년 2월 9일,무지성 무과금으로 게임해도 최신스토리는 물론 이벤트까지 못깨본적 없음 더군다나 미래시가 잘 잡혀있어 공략이 수없이 존재하는 만큼 깨는데 어렵지 않고 영주 시스템과 서포트 시스템이 잘 되어있어 무과금 낮은 스펙으로도 고스펙 게임친구 하나만 있으면 밀 수 있음  이벤트의 빈도가 높아 꾸준히만 한다면 재화 및 쓸만한 캐릭 예장을 얻기 어렵지 않음 얻기 힘들다는 사람들은 문제가 있는것 편의성 업데이트를 해주기 때문에 소소한 부분에서 편할 때가 많음 그러나 동시에 태블릿 혹은 최신기종 외에는 렉이 굉장히 심하다는 단점과 현 최고레벨    과 어펜드 스킬을 최고레벨 찍기 위해서는 과금이 필수라는 점이 가장 아쉬움 그렇지만 굳이 안찍어도 상관 없다는 점이 좋음  그러나 단연코 최고 단점은 이벤트스토리를 포함해 약    의 스토리는 심각할 정도로 재미없고 초반 성장이 느리며 게임이 돌아가는 방식에 대한 이해도가 필수적으로 필요하기 때문에 진입장벽이 매우 높은편인 점이 아쉬움,5
Rsss,2024년 5월 4일,게임아님 부모님없음,1
아슐,2024년 5월 4일,있는돌 다부었는데 달공주 안줌,1
마신임,2024년 5월 3일,세이버어어어어어어어어어어어어   ,5
박종태,2024년 5월 3일,페이트 그랜드 오더 정말 재미있습니다 ,5
red real,2024년 5월 3일,한그오는 신이다 망하지말고 오래오래 같이가요,5
이지호,2024년 5월 2일,스토리하난 정말 볼만합니다 모으는게 좀 안나오긴 합니다,4
박영준,2024년 5월 1일,공주님 알현하기까지 하루,5
kari Hi,2024년 5월 1일,가정의달   아크틱 섬머 월드에서 안뜨면 완전히 접겠습니다,1
가주,2024년 5월 1일,게임성이 아니라 애캐겜,4
김조사모삼,2024년 4월 29일,마밤까지 존버,5
센먀락,2024년 4월 29일,편의성 앞당겨 오는 거랑 소통이 좋음,5
이성열,2024년 4월 25일,요즘 고난이도랍시고 나오는 보스들 왜 지들은 강화해제불가고 아군강화해제시키거나 무효걸어버리는거임  난이도를 떠나서 정나미 떨어지는방식이라 맘에안듬 좋은캐를 뽑았으면 활약을 시켜줘도 모자를판에 시작하자마자 팔다리 다 짜른면 머 어케쓰란거냐 가뜩이나 커멘트카드는 운빨이라 리트하기도 싫은데 캐밥이후 무관 밥먹듯이 나오는것도 아주 고난이도에서나 나오길레 그러려니했는데 이젠 일반이벤트 스토리미션보스따리가 시작하자마자 강화무효에 브레이크깨지면 강화해제박고 보구를 쏴대네 개선좀합시다,1
갈참,2024년 4월 24일,재밌어요,5
조상,2024년 4월 22일,아앗 한그오 미래시가 너무 좋은     유입들아 시작하려면 빠르게 하자    머뭇거릴 틈이 없다        ,5
정민주,2024년 4월 22일,뽑기 극악에 성적석 모으기 극악 몇천만원 꼴아박을 자신 없으면 하지마세요,1
라메,2024년 4월 20일,      속도 데이터로는 접속조차 할 수 없는 앱,2
๛Frog WT,2024년 4월 19일,재밌는데 뽑기확률좀 좀만 높혀줘잉   ,5
고양이,2024년 4월 19일,페북 연동하기 누르면 연동은 안되고 계속 게임 재시작되는데 문의도 안되고 어쩌라는거임  피드백좀 부탁함     ,1
헛소리,2024년 4월 18일,언제 터지나 했더니   결국  ,5
김민정,2024년 4월 18일,내가 처음으로 리뷰 한다  고객센터 최고,5
재자중,2024년 4월 17일,생각보다 재미있음 벗어날수없는 달빠 ,5
퍼리타임,2024년 4월 17일,우선 시위 이후로 운영이 훨씬 좋아져서 게임하기 좋습니다  예전보다 캐릭터 육성이 훨씬 수월해져서 뉴비 분들도 시작하시면 금방금방 진행하시더라구요   성 서번트 육성으로 다 밀으시는 분도 있는 게임입니다  렉이 많아져서 좀 버벅이는데 이부분은 기기를 바꾸지않으면 어찌 해결되진 않을거같아 아쉽네요 ,5
최성완,2024년 4월 16일,게임하면서 자꾸 중간에 게임멈추는데 이거 나만이럼 ,5
