author,date,review,score
Ella Choi,2024년 1월 10일,원신 진짜 재밌게 플레이하고 있습니다  그리고 이것은 제 개인적인 장점과 단점이에요  장점     스토리가 흥미롭고 계속해서 나오는 스토리가 기대됩니다     각종 캐릭터들의 디자인이 예쁘고 잘생겼어요  단점       로 하다보면 가끔 끊김 현상이 나타나요     마신 임무를 다인 모드로 끝낼 수 없어요  예를 들면타르탈리아 보스전이나 반 라이덴 쇼군 특훈을 다인 모드로 못 끝내서 제가 지금 상당히 애를 먹고 있어요     몬드나 리원 같은 곳에서 인장 모으는 것이 힘들어요  단점들을 수정한다면 정말 재미있어요 ,4
이동,2023년 12월 23일,최적화가 너무 안되어있습니다  사용하는 기기는 폴드 입니다  툭툭 끊기는게 너무 많습니다  최적화에 신경좀 많이 써주셨으면 합니다  그리고 이건 최적화랑 별개의 문제인데 폴드류나 다른 탭들의 버튼을 원하는 위치에 배치할 수 있으면 좋을거 같네요  계속 이동하는데 쓸대없이 체팅 창 켜지는거 좀 불편하다고 느껴집니다 ,1
강우진,2024년 3월 17일,장점  초반은 난이도가 쉽고 후반은 무과금으로도  성 충분히 획득 가능해서 좋음  원하는  성을 얻기는 쉽지 않은데 플레이 자체는 지장이 딱히 없음  단점  원하는 캐릭터를 얻기 힘듬  캐릭터 수는 늘어나는데 재화는 부족함  키워야 할 캐릭터는 많은데 재화는 한정적이고 수급처는 반복적이다 보니 금방 지루해짐  매번 이벤트를 열지만 스토리만 다르지 거의 대부분이 전에 했던 이벤트의 재탕이고 다 깨고나면 또 컨텐츠가 부족함  컨텐츠가 부족하니 또 금방 지루해짐 ,3
Reheln,2024년 5월 3일,뉴비한테만 친절하고 좀 오래하는  고인물들은 개돼지 취급하는 노답 게임  출시한지  년이나 넘었는데 일찍 냈어도 되는 편의성 이제서야 깔짝깔짝 추가 하고 있고  일일임무 나 보상 수령 재화인 레진을 다 쓰고 나면 할 것도 전혀 없음  더군다나 레진 소모의 대부분을 차지하는 성유물 장비  파밍은 출시한 이후 단 한번도 편해지거나 쉬워진 적 없고 캐릭터 육성의 가장 중요한 부분임에도 불구하고 유저들이 스트레스 받는 가장 큰 요인임  유저들하고 소통 안하는 최악의 게임 ,1
ten seung,2024년 5월 3일,어려워요,2
나타샤,2024년 5월 3일,굿,5
김시우,2024년 5월 3일,재미있음,5
띠세,2024년 5월 3일,너무 즐길게 많아 즐겁게 플레이하고 있습니다,5
이북이,2024년 5월 3일,픽뚫이 너무 많이나요 돈도 많이 들고 제발 스택좀 낮쳐주면 안될까요 미성년자가 하기에는 금액이 너무 크네요,3
박승규,2024년 5월 3일, 점 다는 사람들 보라고 여기다가 닮  본인 현재   렙이고 게임 시작한지 이제 막  개월 되감  게임이 고렙으로 갈수록 할게 많아짐  하지만 나중가서 월드에서 할수있는걸 다 하고 이벤트  업뎃만 기다림 그리고 그 기다리는 시간에는할게없어 매일 하는거라고는 일퀘  레진 사용하기임  캐릭 일러스트는 잘뽑지만    는 항상 똑같음  뽑기 시스템은 원하는것을 뽑기 어렵게 해놓아 무과금으로는 원하는걸 뽑으려면 최소  달은 넘게 걸림 해본사람 알겠지만 특히 무기뽑   원석과 레진같은 재화 수급량이 적어 하루에 할 수 있는게 제한적  그리고 성유물  강화하다 터지는게 대다수  좋은 성유물에 강화를 해보면     퍼는 강화 터짐  캐릭 전무 의존도 높음 낮은 얘들도 있음   그래서 어렵게 캐릭 종결내도 전무 없으면 캐릭 종결 잘 안나는 편  폰타인 캐릭 출시로 파워 인플레 심해짐      느비  나비아  서폿 차이 큼  그래도 단점만큼 장점도 많으니 깔아서 재미있게 해주세요   ,1
지현,2024년 5월 3일,재밌음,5
장혁준,2024년 5월 3일,  만원써서  성 단 하나   ,1
박효은,2024년 5월 3일,제가 게임을 해보며 말합니다  스토리가 후반    에거부터 지금까지 미니게임 천국입니다 만약에 게임하시고 싶으시면    에서 시작하세요,5
이방원,2024년 5월 3일,성유물 강화랑 옵션 확천 안되는거 킹받네  ,1
나윤혀,2024년 5월 3일,    ,5
신현성,2024년 5월 3일,   도 특수한 맵에서 가능하게 하면 좋을 것 같네요    뽑기는 하지 마세요,4
황준일,2024년 5월 3일,아직도 이걸 안 접은 사람이 있다고  독하다 독해    ,1
라비나,2024년 5월 3일,굳,5
귀마스타 (귀마스타),2024년 5월 2일,모험랭크  찍었는데 왜 리워드안줘요 사기인가요 ,1
김건희,2024년 5월 2일,너무재밌고 힐링돼요 ,5
수안이,2024년 5월 2일,킹갓겜,5
귀문,2024년 5월 2일,    갓겜,5
정재희,2024년 5월 2일,정말 최고,5
