author,date,review,score
tomt,2024년 4월 16일,리뷰 보고 시작한  년차  날이 갈수록 현질유도가 심해져서 접은 게임이 한두개가 아닌데 명일방주는 그런거 없음  올 콜렉터 강박만 없다면 먼슬리 결제로도  성 캐 획득하는데 충분하다고 생각함  장비강화 이딴 거 없고 장비가 없으니 레전더리  유니크 등급 따위도 없어서 캐릭터랑 캐릭터 키울 재화만 모으면 됨  심지어  성 오퍼 없어도     성으로 돌려막아 깰 수는 있음  다만 스테이지 난이도가 높아서 머리를 꽤 굴려야 하는데 바쁘면 공략을 보는 선택지도 있음  그리고 체력 시스템이 있어서 그거 떨어지면 할 거 없긴한데 육성이 어느정도 된 상태면 체력 소모 없는 로그라이크 컨텐츠를 즐기는 방법도 있음  마지막으로 굳이 단점을 꼽자면 중국산 게임인 게 나한텐 흠이었지만 다른 걸 봐도 중궈 아닌게 없고 솔직히 잘 만들어서 그냥 함 ,5
이용문,2024년 4월 29일,어느새  년을 넘어  년차가 되어가는 유일한 게임입니다  수많은 게임을 하며 게임스타일에 질리거나  경쟁에 지치거나 등등의 이유로 지운게 많지만  이 게임은 여전히 남아있을 만큼 재밌습니다  비록 모든 맵을 다 클리어 했지만  하고싶으면 얼마든지 할게 많습니다 로그라이크  섬멸전  등등   또한 업무나 가정사 등등으로 바쁠땐 굳이 게임을 하지않아도 경쟁에 밀린다거나 하는 스트레스도 없고  일일미션도   분 내외로 쾌적하게 클리어 가능한 것도 장점입니다 ,5
초력(Choryeok),2024년 2월 27일,인생작 오픈때부터 즐겨 온 사람으로써 명방의 대체제 게임을 찾지를 못하겠다 라고 느낄 정도로 엄청난 게임성과 구시대적인 자동화 전투 또한 스킵권으로  분안에 끝내는 타게임들과 다른 매력이 있으며 캐릭터의 다양성과 타워디펜스 중에는 유동적인 캐릭 배치 등 다양한 점이 너무 끌렸고 가끔 접기는 했지만 다시 생각이 나서 깔고나서 거의 뽕을 뽑을 만큼 즐기는 게임은 이게 처음이자 마지막일 것 같다  불편한 점도 심각한 점이얐던 섬멸전의 오토 또한 해소시켜줬고 몇몇 구시대적 시스템은 오히려 이 게임의 특징을 이끌고 나가는 것 같아서 진정한 게임성을 지닌 게임인 것 같다  또한 플레이어가 초심을 찾기 좋은 게임이기도 한 것이  성 캐릭 없이도 깰 수 있는 스테이지들이 다수 있기 때문에 내가 뉴비때 시절을 느끼고 싶을때도 재미있게 할 수 있는 게임이라 단언한다    대체제가 거의 없다   특징이 뚜렷한 게임이다   한계치를 넘어야 깰 수 있는 것이 아닌 한계치를 넘어 더 편하게 깨는 구조다,5
Mu뭅,2024년 4월 9일,최적화문제관련 여러번 테스트및 유저분들 의견모은 글입니다  읽는것을 추천드려요  겔럭시       쓰시는 분들을 위해 게임 시작전   설정   그래픽   표시설정에서 일반모드로 변경 음영설정에서 낮음 또는 끄기 추천    일부 설정들을 자신이 원하시는 부분이 아닌 이상 중간이상으로 유지해주세요  오히려 낮음 매우낮음이 더 오류나 렉이 걸리더라고요  중간이 제일 괜찮습니다  궁스킬 멈춤  다운로드중 튕김  검은 화면 반복  등의 문제가 사라집니다   현재       기기가 이런 문제가 심한것같더라고요  아마 엑시노스 소프트웨어가 타기기에 비해 낮아서일수도 아님 스타레일이 그레픽적으로 효과적으로 화려해서도 있는것같아요  그밖에도 문제있는 기기가 있다면 이리 설정 바꾸심 될것같습니다  읽어주셔서 감사하고  여정의 끝이 뭇별에 닿길 ,5
천경현,2024년 5월 3일,슬슬 턴제게임의 단점이 보이기 시작하네요  나올수록 올라가는 신캐의 스펙과 그로 인해 이전 캐릭터들은 버려지며  성캐릭중에는 이딴걸  성으로 만들어놓은건지 생각되는 점도 있으며  아무리 복각이 있다지만 사실상 그 시기에 뽑지 않는다면 의미가 없는 시기한정 캐릭터들등이 문제가 있고  추가적으로 이벤트마다 특정스토리를 봐야 참여가 가능한데 모션으로 인해 반강제적으로 느리게 넘기다보니 스토리만    시간은 봐야하며 스토리가 재미있다지만 관심이 별로 없다면 최고의 장점이 최악의 단점으로 바뀐다  이전엔 굉장히 즐겁게 스토리를 보며 게임을 했지만 지금은 스토리 마저도 저에겐 더이상 흥미를 느끼지 못하는 게임이 되는거 같아 아쉽네요 ,2
윤빛나,2024년 5월 1일,캐릭터 스토리  디자인 다 맛깔나고 브금도 갓뎀임 물론 맵도 하나하나 다 특색있고 이쁨  싸움 시 액션이 돋보인다  자동전투 시스템이 있어서 하나하나 조작 안 하고 편하게 쓸 수 있음   저같은 경우는   멀미가 있어서 제일 최근에 공개된 맵 탐색 시 멀미가 조금 있었는데 그거 제외하고는 아직 재미있는 게임 같아요,5
봄툘,2024년 4월 27일,주기적으로 게임을 지웠다 깔아야 할정도로 최적화가 부족합니다   이전에 루피 블라 오류로 문의메일을 넣었었고  그걸로 이미 게임을 지웠다 깔기도 했어요     주년 기념으로 대규모 업뎃을 한 것 때문에 그런지 몰라도 폰에선 게임을 돌리기  불편하다  라는 감정이 들정도로 심각합니다  설치하는데 시간이 한두시간 걸리는 것도 아닌데   문제가 생길 때마다 지웠다 깔라고 하는 것도 소비자 입장에선 이해하기 어렵습니다   폰 문제일 수도 있겠지만  그것도 감안해서 게임을 즐기기에 문제가 없을 정도로 최적화는 해주셨으면 합니다  ,3
김윤수,2024년 5월 1일, 개월째 재미있게 플레이하고 있는 유저입니다  게임 스토리나 캐릭터들의 개성 등등 매우 만족스럽게 플레이 하고있지만 최근 들어   에서 플레이 했을 때 렉이 심하게 걸립니다  그리고 모바일   울트라 기종으로 플레이했을때 최적화가 안된것인지 렉이 매우 심하게 걸리고 팅김 현상이 자주 있습니다 조치 부탁드립니다  ,3
홍예후,2024년 4월 27일,뽑기가 천장이 없어 상당히 매운 편이고  메인 스토리를 보기 위해 해야하는 많은 양의 전투 때문에 조금 피로함이 있다  또한 가끔 무한로딩으로 창이 안넘어가지는 버그가 있다  하지만 이를 감안하더라도 스토리 완성도와 게임성이 상당히 뛰어나다 ,4
지훈,2024년 5월 3일,게임 로딩쳐하는데 한세월이네,1
